% Model,Furnace_axisym_emmisivity_study_20230825_5.mph
% Version,COMSOL 5.6.0.280
% Date,"Aug 29 2023, 10:39"
% Table,Table 10 - Temperatureqwe - 
% s (mm),Temperature (degC)
0,1100
0.8281333333333123,1100
1.6562666666666246,1100
2.4843999999999937,1100
3.312533333333306,1100
4.140666666666675,1100
4.9687999999999874,1100
5.796916666666618,1100
6.625033333333306,1100
7.453149999999937,1100
8.281266666666681,1100
9.109383333333312,1100
9.937499999999943,1100
10.765633333333255,1100
11.593766666666625,1100
12.421899999999994,1100
13.250033333333363,1100
14.078166666666618,1100
14.906299999999987,1100
15.734416666666618,1100
16.56253333333325,1100
17.390649999999994,1100
18.21876666666668,1100
19.046883333333312,1100
19.875,1100
20.703133333333312,1100
21.531266666666625,1100
22.35940000000005,1100
23.187533333333363,1100
24.015666666666732,1100
24.843800000000044,1100
25.671916666666732,1100
26.500033333333306,1100
27.32815000000005,1100
28.156266666666625,1100
28.984383333333312,1100
29.812499999999943,1100
30.640633333333255,1100
31.468766666666568,1100
32.296899999999994,1100
33.125033333333306,1100
33.95316666666662,1100
34.78129999999999,1100
35.609416666666675,1100
36.437533333333306,1100
37.26564999999994,1100
38.09376666666668,1100
38.92188333333331,1100
39.75,1100
40.57813333333331,1100
41.406266666666625,1100
42.234399999999994,1100
43.062533333333306,1100
43.890666666666675,1100
44.71879999999999,1100
45.54691666666662,1100
46.375033333333306,1100
47.203149999999994,1100
48.03126666666668,1100
48.85938333333331,1100
49.6875,1100
50.51563333333337,1100
51.343766666666625,1100
52.171899999999994,1100
53.000033333333306,1100
53.82816666666662,1100
54.65629999999999,1100
55.48441666666662,1100
56.312533333333306,1100
57.140649999999994,1100
57.968766666666625,1100
58.79688333333337,1100
59.625,1100
60.45313333333331,1100
61.281266666666625,1100
62.109399999999994,1100
62.937533333333306,1100
63.76566666666662,1100
64.59379999999999,1100
65.42191666666662,1100
66.25003333333325,1100
67.07815,1100
67.90626666666662,1100
68.73438333333331,1100
69.5625,1100
70.39063333333331,1100
71.21876666666662,1100
72.0469,1100
72.87503333333336,1100
73.70316666666668,1100
74.53129999999999,1100
75.35941666666668,1100
76.1875333333333,1100
77.01565000000005,1100
77.84376666666662,1100
78.67188333333331,1100
79.5,1100
80.32813333333331,1100
81.15626666666668,1100
81.9844,1100
82.8125333333333,1100
83.64066666666668,1100
84.46879999999999,1100
85.29691666666668,1100
86.1250333333333,1100
86.95314999999994,1100
87.78126666666668,1100
88.60938333333326,1100
89.4375,1100
90.26563333333331,1100
91.09376666666662,1100
91.9219,1100
92.75003333333336,1100
93.57816666666668,1100
94.40629999999999,1100
95.23441666666662,1100
96.0625333333333,1100
96.89065,1100
97.71876666666668,1100
98.54688333333331,1100
99.37499999999994,1100
100.20313333333331,1100
101.03126666666668,1100
101.8594,1100
102.6875333333333,1100
103.51566666666662,1100
104.34379999999999,1100
105.17191666666662,1100
106.00003333333336,1100
106.82815,1100
107.65626666666662,1100
108.48438333333337,1100
109.3125,1100
110.14063333333331,1100
110.96876666666662,1100
111.7969,1100
112.6250333333333,1100
113.45316666666662,1100
114.28129999999993,1100
115.10941666666662,1100
115.93753333333325,1100
116.76565,1100
117.59376666666662,1100
118.42188333333337,1100
119.25,1100
120.07813333333331,1100
120.90626666666662,1100
121.7344,1100
122.5625333333333,1100
123.39066666666668,1100
124.21879999999999,1100
125.04691666666668,1100
125.8750333333333,1100
126.70315000000005,1100
127.53126666666662,1100
128.3593833333333,1100
129.1875,1100
130.0156333333333,1100
130.84376666666662,1100
131.6719,1100
132.5000333333333,1100
133.32816666666668,1100
134.1563,1100
134.98441666666662,1100
135.8125333333333,1100
136.64064999999994,1100
137.46876666666668,1100
138.2968833333333,1100
139.125,1100
139.9531333333333,1100
140.78126666666662,1100
141.60939999999997,1100
142.43753333333328,1100
143.26566666666665,1100
144.0938,1100
144.92191666666662,1100
145.75003333333328,1100
146.57815,1100
147.40626666666665,1100
148.23438333333334,1100
149.0625,1100
149.89063333333334,1100
150.71876666666665,1100
151.54689999999997,1100
152.3750333333333,1100
153.20316666666665,1100
154.03129999999996,1100
154.85941666666662,1100
155.68753333333328,1100
156.51565,1100
157.34376666666665,1100
158.1718833333333,1100
158.99999999999997,1100
159.8281333333333,1100
160.65626666666662,1100
161.4844,1100
162.31253333333333,1100
163.14066666666665,1100
163.9688,1100
164.79691666666668,1100
165.6250333333333,1100
166.45315,1100
167.28126666666668,1100
168.10938333333334,1100
168.93750000000003,1100
169.76563333333334,1100
170.59376666666665,1100
171.4219,1100
172.2500333333333,1100
173.07816666666668,1100
173.9063,1100
174.73441666666665,1100
175.5625333333333,1100
176.39065,1100
177.21876666666668,1100
178.0468833333333,1100
178.875,1100
179.7031333333333,1100
180.53126666666665,1100
181.3594,1100
182.1875333333333,1100
183.01566666666668,1100
183.8438,1100
184.67191666666665,1100
185.5000333333333,1100
186.32815,1100
187.15626666666665,1100
187.9843833333333,1100
188.8125,1100
189.6406333333333,1100
190.46876666666662,1100
191.29689999999997,1100
192.12503333333328,1100
192.95316666666665,1100
193.78129999999996,1100
194.60941666666662,1100
195.43753333333328,1100
196.26565,1100
197.09376666666665,1100
197.9218833333333,1100
198.75,1100
199.5781333333333,1100
200.40626666666665,1100
201.2344,1100
202.06253333333333,1100
202.89066666666668,1100
203.7188,1100
204.54691666666668,1100
205.37503333333333,1100
206.20315,1100
207.03126666666665,1100
207.85938333333334,1100
208.6875,1100
209.5156333333333,1100
210.34376666666662,1100
211.1719,1100
212.0000333333333,1100
212.82816666666665,1100
213.6563,1100
214.48441666666665,1100
215.3125333333333,1100
216.14064999999997,1100
216.96876666666665,1100
217.7968833333333,1100
218.625,1100
